编号,头像,生命成长,无用,名字,外号,性别,等级,经验,生命,生命最大值,内伤,中毒,体力,物品修炼点数,武器,防具,动作帧数1,动作帧数2,动作帧数3,动作帧数4,动作帧数5,动作帧数6,动作帧数7,动作帧数8,动作帧数9,动作帧数10,动作帧数11,动作帧数12,动作帧数13,动作帧数14,动作帧数15,内力性质,内力,内力最大值,攻击力,轻功,防御力,医疗,用毒,解毒,抗毒,拳掌,御剑,耍刀,特殊,暗器,武学常识,品德,攻击带毒,左右互搏,声望,资质,修炼物品,修炼点数,所会武功1,所会武功2,所会武功3,所会武功4,所会武功5,所会武功6,所会武功7,所会武功8,所会武功9,所会武功10,武功等级1,武功等级2,武功等级3,武功等级4,武功等级5,武功等级6,武功等级7,武功等级8,武功等级9,武功等级10,携带物品1,携带物品2,携带物品3,携带物品4,携带物品数量1,携带物品数量2,携带物品数量3,携带物品数量4
0,0,0,0,資,天下奇男子,0,1,0,47,47,0,0,100,0,-1,-1,10,12,11,11,15,7,10,9,9,10,0,8,5,7,0,0,21,21,23,43,27,22,25,23,24,22,30,27,25,26,0,50,0,0,0,74,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,3,3,3,3
1,1,0,1,胡斐,雪山飛狐,0,10,200,450,450,0,0,96,0,-1,-1,0,11,0,11,0,0,9,0,9,0,0,4,0,4,0,1,420,420,76,113,65,0,0,0,0,16,14,51,5,69,5,60,0,0,0,75,-1,0,67,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,202,-1,-1,-1,1,0,0,0
2,2,0,1,程靈素,毒手藥王,1,10,500,260,260,0,0,92,0,-1,-1,8,10,0,0,0,6,7,0,0,0,0,3,0,0,0,0,160,160,22,51,20,54,86,84,76,21,0,0,0,5,0,40,30,0,0,60,-1,0,3,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,193,1,4,10,1,5,5,5
3,3,0,1,苗人鳳,金面佛,0,25,0,700,700,0,0,100,0,-1,-1,0,0,13,0,0,0,0,11,0,0,0,0,7,0,0,1,3000,3000,160,70,100,5,5,5,5,55,120,55,5,40,5,90,0,0,0,50,-1,0,44,90,0,0,0,0,0,0,0,0,900,400,0,0,0,0,0,0,0,0,1,4,12,-1,2,10,10,0
4,4,0,1,閻基,江南惡霸,0,5,550,550,550,0,0,100,0,-1,-1,0,8,0,8,0,0,7,0,7,0,0,5,0,5,0,1,350,350,75,60,35,41,45,30,5,5,5,40,5,10,0,20,0,0,0,54,-1,0,50,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,3,9,190,2,2,10,1
5,5,0,3,張三豐,武當掌門,0,50,0,999,999,0,0,100,0,-1,-1,0,15,9,0,0,0,13,7,0,0,0,11,4,0,0,1,5000,5000,300,140,300,10,10,15,0,128,119,50,0,20,0,95,0,0,0,60,-1,0,46,16,99,0,0,0,0,0,0,0,900,900,999,0,0,0,0,0,0,0,6,1,12,10,2,2,5,2
6,6,0,1,滅絕,峨嵋掌門,1,30,0,800,800,0,0,100,0,-1,-1,0,0,13,0,0,0,0,11,0,0,0,0,9,0,0,0,4000,4000,180,110,130,10,0,0,0,0,90,0,0,40,0,60,0,0,0,50,-1,0,41,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,8,1,3,-1,1,3,3,0
7,7,0,1,何太沖,崑侖掌門,0,16,0,500,500,0,0,90,0,-1,-1,0,0,12,0,0,0,0,10,0,0,0,0,8,0,0,0,1500,1500,130,90,100,0,0,0,0,10,10,10,10,10,10,50,0,0,0,60,-1,0,37,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,0,12,9,5,5,10,2
8,8,0,1,唐文亮,崆峒掌門,0,15,0,500,500,0,0,90,0,-1,-1,0,9,0,0,0,0,8,0,0,0,0,5,0,0,0,0,1500,1500,130,95,100,0,0,0,0,10,10,10,10,10,10,50,0,0,0,60,-1,0,23,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,0,12,9,1,2,10,2
9,9,0,3,張無忌,天下奇男子,0,25,800,800,800,0,0,91,0,-1,-1,14,10,0,0,0,11,8,0,0,0,0,6,0,0,0,1,3000,3000,50,90,130,17,12,15,0,70,30,0,0,40,0,60,0,0,0,70,-1,0,106,7,97,0,0,0,0,0,0,0,500,900,500,0,0,0,0,0,0,0,83,-1,-1,-1,1,0,0,0
