编号,物品名,物品名无用1,物品名无用2,物品名无用3,物品名无用4,物品名无用5,物品名无用6,物品名无用7,物品名无用8,物品名无用9,物品名无用10,物品说明,练出武功,暗器动画编号,使用人,装备类型,显示物品说明,物品类型,未知5,未知6,未知7,加生命,加生命最大值,加中毒解毒,加体力,改变内力性质,加内力,加内力最大值,加攻击力,加轻功,加防御力,加医疗,加使毒,加解毒,加抗毒,加拳掌,加御剑,加耍刀,加特殊兵器,加暗器技巧,加武学常识,加品德,加左右互搏,加攻击带毒,仅修炼人物,需内力性质,需内力,需攻击力,需轻功,需用毒,需医疗,需解毒,需拳掌,需御剑,需耍刀,需特殊兵器,需暗器,需资质,需经验,练出物品需经验,需材料,练出物品1,练出物品2,练出物品3,练出物品4,练出物品5,练出物品数量1,练出物品数量2,练出物品数量3,练出物品数量4,练出物品数量5
0,小還丹,28836,-9791,-22876,0,0,0,0,0,0,0,可恢復少量生命,-1,-1,-1,-1,1,3,2,-1,-1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
1,天香續命膏,-11868,-17491,-3388,21161,18875,0,0,0,0,0,可恢復較多生命,-1,-1,-1,-1,1,3,1,-1,-1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
2,黑玉斷續膏,-15690,-13915,24514,-3388,18875,0,0,0,0,0,可恢復大量生命,-1,-1,-1,-1,1,3,1,-1,-1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
3,白云熊膽丸,-10843,-21852,-19014,30913,22948,0,0,0,0,0,可恢復少量內力,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
4,田七鯊膽散,-12123,17316,21699,30913,-19788,0,0,0,0,0,可恢復一些內力,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
5,九花玉露丸,17828,-7766,-13915,21445,22948,0,0,0,0,0,可恢復較多內力,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
6,九轉熊蛇丸,17828,-7998,-19014,17587,22948,0,0,0,0,0,可恢復大量內力,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
7,無常丹,19637,24753,-22876,0,0,0,0,0,0,0,可恢復一些生命和內力,-1,-1,-1,-1,1,3,1,-1,-1,200,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
8,天王保命丹,-11868,-604,20395,21161,-22876,0,0,0,0,0,最好的藥,-1,-1,-1,-1,1,3,1,-1,-1,500,0,-50,50,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
9,黃連解毒丸,-16202,29619,-11848,29356,22948,0,0,0,0,0,可少量解毒,-1,-1,-1,-1,1,3,1,-1,-1,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
